depth,hidden_size,dram__bytes_read.sum,dram__bytes_write.sum,dram__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,sm__inst_executed.avg.per_cycle_active,sm__warps_active.avg.per_cycle_active,smsp__warps_active.avg.per_cycle_active
2,4,21623.625000,11598.520833,1211.736111,19815.944444,62.965278,1351.909722,352.381944
2,8,10489.888889,18781.826389,1575.756944,12865.104167,63.326389,1378.645833,359.583333
2,16,10339.131944,12940.937500,1853.916667,14661.298611,62.500000,1441.055556,374.152778
2,32,10804.062500,5011.777778,2163.451389,15987.666667,62.520833,1523.986111,395.263889
2,64,10559.972222,6736.840278,2300.506944,14181.881944,63.902778,1505.576389,390.694444
2,128,12116.854167,7116.763889,2523.000000,13306.458333,67.458333,1547.583333,399.145833
2,256,13822.305556,6051.291667,2601.694444,20037.694444,67.250000,1486.534722,377.847222
2,512,16645.398551,6062.934783,2612.833333,24535.195652,73.739130,1521.391304,383.521739
3,4,23244.333333,16828.731183,1388.392473,15858.623656,67.231183,1432.397849,368.241935
3,8,10483.338710,28777.473118,1954.709677,10234.790323,67.741935,1473.370968,381.876344
3,16,8483.381720,11516.263441,2411.349462,11224.591398,66.709677,1573.365591,405.865591
3,32,10250.064516,13844.327957,2565.978495,15027.424731,66.720430,1685.655914,433.645161
3,64,8706.720430,10749.543011,2802.645161,13720.720430,69.655914,1639.559140,420.940860
3,128,11563.527778,10929.511111,2943.244444,18799.877778,78.444444,1705.388889,434.766667
3,256,20740.344444,11464.783333,3000.777778,30416.188889,81.638889,1668.011111,420.650000
3,512,11851.620690,23332.373563,3474.936782,24875.557471,86.902299,1709.327586,429.057471
5,4,26569.674074,7852.225926,1261.785185,15629.555556,72.540741,1534.051852,388.240741
5,8,9020.392593,36734.300000,2397.733333,6592.885185,73.362963,1574.770370,404.629630
5,16,6146.744444,10599.051852,3112.600000,8233.844444,71.929630,1716.555556,440.048148
5,32,9361.351852,2359.100000,3454.885185,11177.437037,69.988889,1862.311111,474.040741
5,64,7468.459259,5508.525926,3750.781481,9455.255556,74.574074,1768.977778,450.511111
5,128,12194.900794,11892.996032,3708.817460,20437.960317,89.833333,1868.365079,472.813492
5,256,15994.968254,17241.376984,3791.051587,15117.793651,93.293651,1838.293651,462.293651
5,512,12385.500000,9357.747967,4514.170732,30466.975610,96.052846,1871.894309,469.333333
7,4,28984.144068,25915.036723,1713.700565,12883.875706,75.005650,1569.005650,394.175141
7,8,8945.776836,41550.966102,2675.449153,6055.313559,76.282486,1630.556497,416.268362
7,16,5622.799435,9934.793785,3458.234463,6766.381356,74.519774,1794.946328,457.802260
7,32,8678.706215,2472.299435,3806.107345,9759.598870,72.403955,1957.327684,496.186441
7,64,6452.929379,6066.395480,4178.149718,9669.262712,77.567797,1835.836158,466.375706
7,128,10779.324074,6819.114198,4257.111111,13667.719136,95.435185,1958.148148,493.722222
7,256,7497.185185,7762.919753,4278.200617,14060.620370,99.669753,1930.703704,484.469136
7,512,12390.050314,12143.037736,4713.701258,35640.952830,101.688679,1966.028302,492.157233
9,4,30060.545662,27263.479452,1805.504566,13184.755708,76.803653,1593.481735,398.598174
9,8,7576.904110,45017.294521,2788.678082,4927.342466,78.244292,1666.406393,423.639269
9,16,4548.363014,9316.794521,3658.383562,5905.933790,76.616438,1843.015982,468.589041
9,32,7457.344749,2050.659817,4034.632420,9483.184932,74.025114,2014.390411,509.465753
9,64,6196.073059,6247.303653,4438.753425,8969.068493,79.531963,1878.577626,475.981735
9,128,10522.974747,6937.037879,4521.633838,7102.239899,99.133838,2014.790404,506.858586
9,256,7286.267677,8644.770202,4474.040404,14782.704545,103.787879,1990.772727,499.005051
9,512,12466.602564,13029.561538,4769.769231,37967.269231,105.925641,2054.856410,514.007692
